device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 20000 of 84500 pairs per epoch (7.1 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 0.0001, epoch counter from 0)
resumed from weights/driftsense_p6.pt (epoch 0, best 0.299px)
  e7 [400/1250] loss 0.410 focal 0.302 off 0.1075 | batch median err 1.4px | 75.8 img/s | lr 9.70e-05
  e7 [450/1250] loss 0.409 focal 0.301 off 0.1076 | batch median err 1.2px | 75.9 img/s | lr 9.69e-05
  e7 [500/1250] loss 0.411 focal 0.302 off 0.1084 | batch median err 1.9px | 76.0 img/s | lr 9.68e-05
  e7 [550/1250] loss 0.413 focal 0.304 off 0.1091 | batch median err 1.9px | 76.0 img/s | lr 9.68e-05
  e7 [600/1250] loss 0.411 focal 0.302 off 0.1086 | batch median err 1.9px | 76.0 img/s | lr 9.67e-05
  e7 [650/1250] loss 0.407 focal 0.298 off 0.1088 | batch median err 1.2px | 76.1 img/s | lr 9.66e-05
  e7 [700/1250] loss 0.407 focal 0.298 off 0.1086 | batch median err 1.1px | 76.1 img/s | lr 9.65e-05
  e7 [750/1250] loss 0.404 focal 0.296 off 0.1085 | batch median err 1.9px | 76.1 img/s | lr 9.64e-05
  e7 [800/1250] loss 0.401 focal 0.293 off 0.1085 | batch median err 1.0px | 76.1 img/s | lr 9.63e-05
  e7 [850/1250] loss 0.400 focal 0.292 off 0.1080 | batch median err 1.3px | 76.1 img/s | lr 9.62e-05
  e7 [900/1250] loss 0.401 focal 0.293 off 0.1085 | batch median err 2.2px | 76.2 img/s | lr 9.61e-05
  e7 [950/1250] loss 0.400 focal 0.292 off 0.1087 | batch median err 1.1px | 76.2 img/s | lr 9.60e-05
  e7 [1000/1250] loss 0.401 focal 0.292 off 0.1090 | batch median err 1.0px | 76.2 img/s | lr 9.59e-05
  e7 [1050/1250] loss 0.403 focal 0.294 off 0.1092 | batch median err 1.7px | 76.2 img/s | lr 9.58e-05
  e7 [1100/1250] loss 0.405 focal 0.295 off 0.1094 | batch median err 1.2px | 76.2 img/s | lr 9.57e-05
  e7 [1150/1250] loss 0.405 focal 0.296 off 0.1091 | batch median err 2.4px | 76.2 img/s | lr 9.56e-05
  e7 [1200/1250] loss 0.406 focal 0.297 off 0.1090 | batch median err 1.4px | 76.2 img/s | lr 9.55e-05
  e7 [1250/1250] loss 0.407 focal 0.298 off 0.1092 | batch median err 1.5px | 76.2 img/s | lr 9.54e-05
